state,polling_place,premises,address,suburb,postcode,wheelchair_access
NSW,Pymble West,Pymble West Public School,Apollo Ave,WEST PYMBLE,2073.0,N
NSW,Roseville,Roseville Uniting Church Hall,7 Lord St,ROSEVILLE,2069.0,F
NSW,Roseville Chase,Community Hall,6 Babbage Rd,ROSEVILLE,2069.0,N
NSW,Roseville East,Roseville Public School,Archbold Rd,ROSEVILLE,2069.0,F
NSW,Roseville South,St Barnabas Anglican Church,30 William St East,ROSEVILLE,2069.0,A
NSW,St Ives,St Ives Community Hall,"Village Green, Memorial Ave",ST IVES,2075.0,A
NSW,St Ives Chase,St Ives North Scout Hall,Warrimoo Ave,ST IVES CHASE,2075.0,A
NSW,St Ives North,St Ives North Public School,87 Memorial Ave,ST IVES,2075.0,F
NSW,St Ives Park,St Ives Park Public School,Acron Road,ST IVES,2075.0,N
NSW,St Ives South,St Ives High School,Yarrabung Rd,ST IVES,2075.0,N
NSW,Turramurra,St James Anglican Church Hall,King St,TURRAMURRA,2074.0,A
NSW,Turramurra Central,Turramurra Uniting Church Hall,Turramurra Ave,TURRAMURRA,2074.0,A
NSW,Turramurra North,Turramurra North Public School,Bobbin Head Rd,TURRAMURRA,2074.0,N
NSW,Wahroonga,St Andrews Anglican Church Hall,Cleveland St,WAHROONGA,2076.0,N
NSW,Wahroonga East,Wahroonga Public School,71 Burns Rd,WAHROONGA,2076.0,A
NSW,Barry,Community Hall,Selwyn St,BARRY,2799.0,N
NSW,Bathurst,Bathurst Public School,George St,BATHURST,2795.0,N
NSW,Bathurst Central,Catholic Cathedral Parish Centre,Keppel St,BATHURST,2795.0,A
NSW,Bathurst City,Walshaw Hall,Church St,BATHURST,2795.0,A
NSW,Bathurst High,Bathurst High School,Hope St,BATHURST,2795.0,N
NSW,Bathurst Hospital,Bathurst Base Hospital,Howick St,BATHURST,2795.0,N
NSW,Bathurst St Vincents,St Vincents Hospital,Gormans Hill Rd,BATHURST,2795.0,A
NSW,Bathurst South,Bathurst South Public School,Havannah St,BATHURST,2795.0,N
NSW,Bathurst West,Bathurst West Public School,Suttor St,BATHURST,2795.0,A
NSW,Black Springs,Black Springs Public School,Avoca St,BLACK SPRINGS,2787.0,A
NSW,Blayney,Blayney Public School,Lindsay St,BLAYNEY,2799.0,A
NSW,Bletchington,Bletchington Public School,Matthews Ave,ORANGE,2800.0,A
NSW,Bloomfield Hospital,Bloomfield Hospital Recreation Hall,Forest Rd,ORANGE,2800.0,A
NSW,Borenore,Borenore Public School,Forbes Rd,BORENORE,2800.0,N
NSW,Bowen,Bowen Public School,Park St,ORANGE,2800.0,A
NSW,Bowenfels South,Presbyterian Church Hall,Great Western Hwy,SOUTH BOWENFELS,2790.0,N
NSW,Burraga,Burraga Public School,Isabella St,BURRAGA,2795.0,N
NSW,Bylong,Bylong Upper Public School,Upper Bylong Rd,BYLONG,2849.0,N
NSW,Calare School,Calare Public School,Frost Street,ORANGE,2800.0,A
