state,polling_place,premises,address,suburb,postcode,wheelchair_access,match_source,match_type,latitude,longitude,geometry,pp_2016_index
NSW,Blakehurst,Blakehurst Uniting Church Hall,973 King Georges Rd,BLAKEHURST,2221.0,N,2007 Polling Places,"Match 05 - state, polling_place, postcode",-33.9878,151.111,POINT (151.111 -33.9878),528
NSW,Bona Park,Sans Souci Guide Hall,Robert St,SANS SOUCI,2219.0,N,google geocode,GEOMETRIC_CENTER,-33.98938500000001,151.1357734,POINT (151.1357734 -33.98938500000001),551
NSW,Brighton-Le-Sands,Brighton-Le-Sands Public School,35 Crawford Rd,BRIGHTON-LE-SANDS,2216.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9627,151.148,POINT (151.148 -33.9627),161
NSW,Brighton North,St Marks Anglican Church Hall,1 Trafalgar St,BRIGHTON-LE-SANDS,2216.0,N,2007 Polling Places,"Match 05 - state, polling_place, postcode",-33.9605,151.154,POINT (151.154 -33.9605),161
NSW,Carlton,Carlton Scout Hall,Milsop St,BEXLEY,2207.0,A,2007 Polling Places,"Match 05 - state, polling_place, postcode",-33.9624,151.124,POINT (151.124 -33.9624),163
NSW,Carlton North,Senior Citizens Centre,Taylor St,KOGARAH,2217.0,A,google geocode,GEOMETRIC_CENTER,-33.9640084,151.1308856,POINT (151.1308856 -33.9640084),177
NSW,Carss Park,Blakehurst Public School,Dewrang St,CARSS PARK,2221.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9834,151.116,POINT (151.116 -33.9834),528
NSW,Clareville Park,Pre-School Kindergarten,95 Clareville Ave,SANDRINGHAM,2219.0,A,google geocode,ROOFTOP,-33.99926370000001,151.1387328,POINT (151.1387328 -33.99926370000001),554
NSW,Connells Point,Connells Point Public School,Riverview Ave,CONNELLS POINT,2221.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9855,151.1,POINT (151.1 -33.9855),111
NSW,Hurstville Central,Woniora Road School,83 Woniora Rd,HURSTVILLE,2220.0,N,google geocode,ROOFTOP,-33.9710063,151.1031575,POINT (151.1031575 -33.9710063),118
NSW,Hurstville Grove,St Aidans Church Hall,Cnr Hillcrest Ave and Lansdowne St,HURSTVILLE GROVE,2220.0,N,2007 Polling Places,"Match 05 - state, polling_place, postcode",-33.9743,151.092,POINT (151.092 -33.9743),117
NSW,Hurstville South,Blakehurst High School,270a Woniora Rd,BLAKEHURST,2221.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9814,151.113,POINT (151.113 -33.9814),107
NSW,Jubilee,Carlton South Public School,Jubilee Ave,CARLTON,2218.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9727,151.128,POINT (151.128 -33.9727),109
NSW,Kogarah,Kogarah Presbyterian Church Hall,Cnr Kensington and Derby Sts,KOGARAH,2217.0,A,2007 Polling Places,"Match 05 - state, polling_place, postcode",-33.9666,151.132,POINT (151.132 -33.9666),543
NSW,Kogarah Bay,Congregational Church Hall,Wyee St,KOGARAH BAY,2217.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9839,151.123,POINT (151.123 -33.9839),542
NSW,Kogarah Central,Kogarah High School,Gladstone St,KOGARAH,2217.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9616,151.136,POINT (151.136 -33.9616),177
NSW,Kyeemagh,Kyeemagh Public School,Beehag St,KYEEMAGH,2216.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9497,151.161,POINT (151.161 -33.9497),178
NSW,Monterey,St George Archers Hall,Burlington St,MONTEREY,2217.0,A,2010 Polling Places,"Match 02 - state, premises, postcode",-33.973,151.145,POINT (151.145 -33.973),550
NSW,Moorefield,Moorefield Girls High School,Marshall St,KOGARAH,2217.0,N,google geocode,GEOMETRIC_CENTER,-33.9696951,151.1392873,POINT (151.1392873 -33.9696951),543
NSW,Mortdale East,Mortdale Public School,Coleborne Ave,MORTDALE,2223.0,A,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9727,151.08100000000005,POINT (151.081 -33.9727),121
NSW,Ramsgate North,Ramsgate Public School,Florence St,RAMSGATE,2217.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-33.982,151.144,POINT (151.144 -33.982),552
NSW,Rockdale,St Johns Anglican Church Hall,431 Princes Highway,ROCKDALE,2216.0,N,2007 Polling Places,"Match 05 - state, polling_place, postcode",-33.9527,151.142,POINT (151.142 -33.9527),184
NSW,Rockdale Central,Rockdale Uniting Church Hall,11 Bay St,ROCKDALE,2216.0,A,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9537,151.139,POINT (151.139 -33.9537),186
NSW,Rockdale Park,St Dominic Savio School,280 West Botany St,ROCKDALE,2216.0,A,2007 Polling Places,"Match 05 - state, polling_place, postcode",-33.9507,151.149,POINT (151.149 -33.9507),184
