state,polling_place,yes_n,no_n,formal_n,informal_n,total_n,yes_p,no_p,formal_p,informal_p
NSW,Barrack Heights,764,726,1490,20,1510,0.5128,0.4872,0.9868,0.0132
NSW,Barrenjoey,932,707,1639,9,1648,0.5686,0.4314,0.9945,0.0055
NSW,Barrington,107,201,308,2,310,0.3474,0.6526,0.9935,0.0065
NSW,Basin View,307,454,761,6,767,0.4034,0.5966,0.9922,0.0078
NSW,Bass Hill,1092,1326,2418,35,2453,0.4516,0.5484,0.9857,0.0143
NSW,Bass Hill Central,695,858,1553,35,1588,0.4475,0.5525,0.978,0.022
NSW,Bass Hill West,1462,1584,3046,47,3093,0.48,0.52,0.9848,0.0152
NSW,Bateau Bay East,896,1013,1909,12,1921,0.4694,0.5306,0.9938,0.0062
NSW,Bateau Bay South,529,645,1174,7,1181,0.4506,0.5494,0.9941,0.0059
NSW,Bateau Bay West,155,281,436,0,436,0.3555,0.6445,1.0,0.0
NSW,Batehaven,543,686,1229,11,1240,0.4418,0.5582,0.9911,0.0089
NSW,Batemans Bay,1203,1617,2820,26,2846,0.4266,0.5734,0.9909,0.0091
NSW,Bathurst,1210,1496,2706,28,2734,0.4472,0.5528,0.9898,0.0102
NSW,Bathurst Central,292,333,625,5,630,0.4672,0.5328,0.9921,0.0079
NSW,Bathurst City,873,1130,2003,20,2023,0.4358,0.5642,0.9901,0.0099
NSW,Bathurst High,461,567,1028,6,1034,0.4484,0.5516,0.9942,0.0058
NSW,Bathurst Hospital,340,459,799,3,802,0.4255,0.5745,0.9963,0.0037
NSW,Bathurst South,489,782,1271,13,1284,0.3847,0.6153,0.9899,0.0101
NSW,Bathurst St Vincents,90,169,259,2,261,0.3475,0.6525,0.9923,0.0077
NSW,Bathurst West,1022,1292,2314,24,2338,0.4417,0.5583,0.9897,0.0103
NSW,Batlow,305,615,920,8,928,0.3315,0.6685,0.9914,0.0086
NSW,Baulkham Hills,129,186,315,2,317,0.4095,0.5905,0.9937,0.0063
NSW,Baulkham Hills High,673,717,1390,3,1393,0.4842,0.5158,0.9978,0.0022
NSW,Baulkham Hills Hospital,69,88,157,1,158,0.4395,0.5605,0.9937,0.0063
NSW,Baulkham Hills North,1354,1469,2823,21,2844,0.4796,0.5204,0.9926,0.0074
NSW,Bawley Point,239,231,470,1,471,0.5085,0.4915,0.9979,0.0021
NSW,Bayldon,882,1293,2175,16,2191,0.4055,0.5945,0.9927,0.0073
NSW,Bayview,734,644,1378,2,1380,0.5327,0.4673,0.9986,0.0014
NSW,Beacon Hill,1543,1736,3279,26,3305,0.4706,0.5294,0.9921,0.0079
NSW,Beaconsfield,226,154,380,1,381,0.5947,0.4053,0.9974,0.0026
NSW,Beaumont Park,390,559,949,10,959,0.411,0.589,0.9896,0.0104
NSW,Beauty Point,685,510,1195,4,1199,0.5732,0.4268,0.9967,0.0033
NSW,Beckom,9,87,96,0,96,0.0938,0.9062,1.0,0.0
NSW,Bedgerebong,29,119,148,0,148,0.1959,0.8041,1.0,0.0
NSW,Beechwood,262,455,717,5,722,0.3654,0.6346,0.9931,0.0069
NSW,Beecroft,1885,1541,3426,13,3439,0.5502,0.4498,0.9962,0.0038
NSW,Beecroft West,1290,1283,2573,17,2590,0.5014,0.4986,0.9934,0.0066
NSW,Beelbangera,124,215,339,6,345,0.3658,0.6342,0.9826,0.0174
NSW,Bega,735,1397,2132,18,2150,0.3447,0.6553,0.9916,0.0084
NSW,Bega Central,363,680,1043,7,1050,0.348,0.652,0.9933,0.0067
NSW,Bell Park,395,331,726,9,735,0.5441,0.4559,0.9878,0.0122
NSW,Bellambi,608,794,1402,13,1415,0.4337,0.5663,0.9908,0.0092
NSW,Bellata,44,170,214,0,214,0.2056,0.7944,1.0,0.0
NSW,Bellbird,490,742,1232,8,1240,0.3977,0.6023,0.9935,0.0065
NSW,Bellbrook,53,134,187,1,188,0.2834,0.7166,0.9947,0.0053
NSW,Bellimbopinni,39,79,118,2,120,0.3305,0.6695,0.9833,0.0167
NSW,Bellingen,1068,1098,2166,14,2180,0.4931,0.5069,0.9936,0.0064
NSW,Bellingen Hospital,62,60,122,3,125,0.5082,0.4918,0.976,0.024
NSW,Belmont Central,669,957,1626,11,1637,0.4114,0.5886,0.9933,0.0067
NSW,Belmont North,816,1082,1898,16,1914,0.4299,0.5701,0.9916,0.0084
NSW,Belmont West,482,570,1052,6,1058,0.4582,0.5418,0.9943,0.0057
NSW,Belmore Central,1173,866,2039,25,2064,0.5753,0.4247,0.9879,0.0121
NSW,Belmore North,1326,1016,2342,50,2392,0.5662,0.4338,0.9791,0.0209
NSW,Belmore South,1173,1159,2332,23,2355,0.503,0.497,0.9902,0.0098
NSW,Belrose,904,989,1893,14,1907,0.4775,0.5225,0.9927,0.0073
NSW,Belrose North,1009,1062,2071,14,2085,0.4872,0.5128,0.9933,0.0067
NSW,Bemboka,127,234,361,2,363,0.3518,0.6482,0.9945,0.0055
NSW,Ben Lomond,23,85,108,0,108,0.213,0.787,1.0,0.0
NSW,Ben Venue,1197,1376,2573,11,2584,0.4652,0.5348,0.9957,0.0043
NSW,Bendemeer,88,217,305,2,307,0.2885,0.7115,0.9935,0.0065
NSW,Bendick Murrell,56,114,170,0,170,0.3294,0.6706,1.0,0.0
NSW,Bentley,92,118,210,0,210,0.4381,0.5619,1.0,0.0
NSW,Berala,1982,1551,3533,68,3601,0.561,0.439,0.9811,0.0189
NSW,Beresfield,904,1549,2453,18,2471,0.3685,0.6315,0.9927,0.0073
NSW,Berkeley,1008,1032,2040,20,2060,0.4941,0.5059,0.9903,0.0097
NSW,Berkeley South,334,372,706,5,711,0.4731,0.5269,0.993,0.007
NSW,Berkeley Vale,1231,1627,2858,28,2886,0.4307,0.5693,0.9903,0.0097
