,state,polling_place,latitude,longitude
455,NSW,Orange West,-33.2809,149.086
456,NSW,Peel,-33.406582300000004,149.56752780000002
457,NSW,Perthville,-33.491277399999994,149.5491994
458,NSW,Portland,-33.3551735,149.9792727
459,NSW,Raglan,-33.4283,149.648
460,NSW,Rockley,-33.69226,149.56285
461,NSW,Rylstone,-32.795781,149.972821
467,NSW,Spring Hill,-33.3997,149.151
468,NSW,Spring Terrace,-33.3940137,149.0967575
469,NSW,Stuart Town,-32.8023,149.069
470,NSW,Sydney,-33.8730501,151.20645280000002
471,NSW,Trunkey,-33.8222481,149.32880649999998
472,NSW,Tweed Mills,-33.4848816,150.1348122
473,NSW,Ulan,-32.2822,149.743
474,NSW,Wallerawang,-33.4196,150.071
475,NSW,Wattle Flat,-33.1422,149.692
476,NSW,Wellington,-32.55762369999999,148.9420174
477,NSW,Wellington East,-32.5551,148.952
478,NSW,Windeyer,-32.6610913,149.4866753
479,NSW,Yeoval,-32.7549609,148.6500868
480,NSW,Yetholme,-33.4478,149.817
481,NSW,Arndell Park North,-33.78707,150.89061
482,NSW,Bidwill,-33.7339,150.826
483,NSW,Blackett,-33.7395,150.816
485,NSW,Blacktown South,-33.78035,150.9058
486,NSW,Blacktown West,-33.7705,150.893
488,NSW,Dean Park,-33.7339,150.858
489,NSW,Dharruk,-33.7475,150.817
491,NSW,Doonside,-33.765,150.872
492,NSW,Doonside North,-33.7563,150.875
493,NSW,Glendenning,-33.7425,150.852
494,NSW,Hassall Grove,-33.7361,150.84
495,NSW,Hebersham,-33.7477,150.825
496,NSW,Lethbridge Park,-33.7381603,150.8008757
497,NSW,Marayong,-33.7565,150.895
498,NSW,Marayong Heights,-33.7429,150.89600000000002
499,NSW,Marayong South,-33.7606,150.885
500,NSW,Marayong West,-33.7476227,150.8914958
501,NSW,Marsden Park,-33.696,150.834
502,NSW,Mount Druitt,-33.767261100000006,150.825511
504,NSW,Mount Druitt North,-33.7639,150.812
505,NSW,Mount Druitt South,-33.7749,150.814
506,NSW,Plumpton,-33.7491,150.838
507,NSW,Quakers Hill,-33.7377,150.885
508,NSW,Quakers Hill East,-33.7292,150.89600000000002
509,NSW,Rooty Hill North,-33.769,150.841
510,NSW,Rooty Hill South,-33.77585,150.84702
511,NSW,Ropes Crossing,-33.7331733,150.7826436
512,NSW,Shalvey,-33.7278,150.80700000000002
514,NSW,Sydney,-33.8730501,151.20645280000002
515,NSW,Tregear,-33.7453707,150.79487790000002
516,NSW,Whalan,-33.7526,150.81
517,NSW,Willmot,-33.7256,150.79399999999998
518,NSW,Woodcroft,-33.7496,150.882
519,NSW,Blakehurst South,-33.996455,151.1066889
521,NSW,Brighton-Le-Sands,-33.9627,151.148
522,NSW,Burraneer Bay,-34.0507,151.13299999999998
523,NSW,Caringbah Central,-34.0462315,151.1230705
524,NSW,Caringbah North,-34.033429999999996,151.121
525,NSW,Caringbah South,-34.0537,151.123
526,NSW,Caringbah West,-34.0459,151.113
527,NSW,Carlton South,-33.9727,151.128
528,NSW,Carss Park,-33.9834,151.116
529,NSW,Connells Point,-33.9855,151.1
530,NSW,Cronulla,-34.0538,151.148
531,NSW,Cronulla Central,-34.0573311,151.15301069999998
532,NSW,Cronulla North,-34.0484489,151.1515928
533,NSW,Cronulla South,-34.0653,151.154
536,NSW,Greenhills Beach,-34.0389,151.158
537,NSW,Gymea,-34.0371,151.084
538,NSW,Gymea Bay,-34.0468,151.083
539,NSW,Gymea North,-34.0265,151.088
541,NSW,Kirrawee,-34.0331,151.078
542,NSW,Kogarah Bay,-33.9839,151.123
543,NSW,Kogarah East,-33.9687,151.137
544,NSW,Kurnell,-34.0108,151.204
545,NSW,Lilli Pilli,-34.0636292,151.1189871
546,NSW,Miranda,-34.0332,151.09799999999998
547,NSW,Miranda Central,-34.036371,151.1008735
549,NSW,Miranda North,-34.0314,151.113
550,NSW,Monterey,-33.973,151.145
551,NSW,Ramsgate,-33.9847,151.138
552,NSW,Ramsgate Beach,-33.982,151.144
554,NSW,Sandringham,-33.9991,151.139
555,NSW,Sans Souci,-33.9951,151.13
558,NSW,Sydney,-33.8730501,151.20645280000002
559,NSW,Sylvania,-34.0084,151.112
560,NSW,Sylvania Heights,-34.0124,151.09799999999998
561,NSW,Sylvania South,-34.0196,151.105
562,NSW,Taren Point,-34.0189,151.123
563,NSW,Woolooware,-34.0456,151.14600000000002
564,NSW,Yowie Bay,-34.0479,151.10299999999998
565,NSW,Aldavilla,-31.0554733,152.786424
566,NSW,Bayldon,-30.3637,153.08
567,NSW,Bellbrook,-30.8188,152.509
568,NSW,Bellingen,-30.4516,152.895
570,NSW,Boambee,-30.3346,153.077
571,NSW,Bonville,-30.3847392,153.0506212
572,NSW,Bostobrick,-30.2747,152.629
573,NSW,Bowraville,-30.6436,152.85399999999998
574,NSW,Coffs Harbour,-30.291748499999997,153.1192336
575,NSW,Coffs Harbour Central,-30.2987,153.118
577,NSW,Coffs Harbour Jetty,-30.3055,153.136
578,NSW,Coffs Harbour South,-30.2926,153.10399999999998
579,NSW,Coffs Harbour West,-30.2828,153.112
580,NSW,Crescent Head,-31.1898,152.971
582,NSW,Dorrigo,-30.339338899999998,152.7117264
583,NSW,Emerald Downs,-31.4781,152.915
584,NSW,Eungai Creek,-30.831,152.882
585,NSW,Frederickton,-31.0327,152.88
586,NSW,Gladstone,-31.026294300000004,152.94613950000002
587,NSW,Gleniffer,-30.388274,152.8842079
588,NSW,Hat Head,-31.051426,153.044064
589,NSW,Hibbard,-31.429000000000002,152.88299999999998
590,NSW,Innes Lake,-31.463275399999997,152.8774247
591,NSW,Kempsey East,-31.0833982,152.8467429
592,NSW,Kempsey High,-31.069276199999997,152.8261994
594,NSW,Kempsey South,-31.094928000000003,152.829606
595,NSW,Kempsey West,-31.077757199999997,152.829924
596,NSW,Korora,-30.25398,153.13145
597,NSW,Kundabung,-31.2124,152.835
598,NSW,Macksville,-30.7095,152.91899999999998
599,NSW,Missabotti,-30.5670072,152.81046030000002
600,NSW,Mylestom,-30.463838,153.043104
601,NSW,Nambucca Heads,-30.642073200000002,153.0054562
603,NSW,Newville,-30.6403,152.984
604,NSW,Port Macquarie Central,-31.4293,152.914
606,NSW,Port Macquarie East,-31.4341,152.921
607,NSW,Port Macquarie North Shore,-31.4047,152.874
608,NSW,Port Macquarie South,-31.453454600000004,152.9185203
609,NSW,Port Macquarie West,-31.4355,152.89600000000002
610,NSW,Raleigh,-30.449714899999996,153.0126023
611,NSW,Repton,-30.4461,153.029
612,NSW,Sawtell,-30.362868199999998,153.0979486
613,NSW,Scotts Head,-30.749390000000002,152.9955033
614,NSW,Settlement Shores,-31.4304075,152.90328200000002
615,NSW,South West Rocks,-30.8911488,153.0391993
616,NSW,South West Rocks South,-30.888020500000003,153.0404882
622,NSW,Stuarts Point,-30.820697499999998,152.9944399
623,NSW,Sydney,-33.8730501,151.20645280000002
624,NSW,Tacking Point,-31.4726,152.922
625,NSW,Taylors Arm,-30.7649994,152.71943290000002
626,NSW,Telegraph Point,-31.3338,152.79399999999998
627,NSW,Thora,-30.4294142,152.7528051
628,NSW,Toormina,-30.3512,153.085
629,NSW,Upper Orara,-30.288844,153.0134512
630,NSW,Urunga,-30.495076399999995,153.02085290000002
631,NSW,Utungun,-30.739,152.829
632,NSW,Valla Beach,-30.5916721,153.0024636
633,NSW,Warrell Creek,-30.756487300000003,152.9053259
634,NSW,Willawarrin,-30.925856800000002,152.6248927
635,NSW,Austinmer,-34.305215999999994,150.9359689
636,NSW,Balgownie,-34.3877,150.872
637,NSW,Balgownie Central,-34.3889467,150.8795144
638,NSW,Bellambi,-34.3652,150.917
640,NSW,Bulli,-34.32677,150.91214
641,NSW,Bulli Central,-34.33465,150.9134
642,NSW,Coledale,-34.28947,150.94687
643,NSW,Coniston,-34.4386,150.887
644,NSW,Cordeaux Heights,-34.4454,150.835
645,NSW,Corrimal,-34.37543,150.89813
646,NSW,Corrimal East,-34.37532,150.91062
649,NSW,Fairy Meadow,-34.3902,150.893
650,NSW,Figtree,-34.43887,150.8537
651,NSW,Figtree Heights,-34.4316,150.856
652,NSW,Gwynneville,-34.418079399999996,150.879339
653,NSW,Helensburgh,-34.1924,150.98146
654,NSW,Helensburgh North,-34.18395,150.98865
655,NSW,Keiraville,-34.4147,150.873
656,NSW,Lake Heights,-34.4902,150.868
657,NSW,Lindsay Park,-34.4298345,150.8617242
658,NSW,Mount Keira,-34.4199799,150.86301740000002
659,NSW,Mount Kembla,-34.4326,150.81799999999998
660,NSW,Mount Ousley,-34.39908,150.88966000000002
661,NSW,Mount Saint Thomas,-34.4372815,150.8704656
662,NSW,Port Kembla,-34.4875692,150.91445980000003
663,NSW,Port Kembla Central,-34.4816,150.901
664,NSW,Russell Vale,-34.3593,150.905
665,NSW,Smith's Hill,-34.4192,150.895
668,NSW,Stanwell Park,-34.2291488,150.984638
669,NSW,Sydney,-33.8730501,151.20645280000002
670,NSW,Tarrawanna,-34.3803,150.889
671,NSW,Thirroul,-34.31689,150.91828999999998
672,NSW,Thirroul East,-34.31722,150.92182
673,NSW,Towradgi,-34.389,150.90200000000002
674,NSW,Unanderra,-34.4518,150.841
675,NSW,Unanderra South,-34.4601,150.836
676,NSW,Warrawong,-34.481,150.878
677,NSW,Warrawong Central,-34.4846,150.886
678,NSW,Wollongong,-34.425717600000006,150.8977103
679,NSW,Wollongong Central,-34.4296,150.886
681,NSW,Wollongong North,-34.4247,150.884
682,NSW,Wombarra,-34.27447,150.95805
683,NSW,Woonona,-34.3465,150.906
684,NSW,Woonona Central,-34.341203799999995,150.90638090000002
