longitude,latitude,SSC_CODE16,SSC_NAME16,STE_CODE16,STE_NAME16,AREASQKM16,xcoord,ycoord
144.2151013,-35.60036776,10199,Barham,1,New South Wales,472.8025,144.2151,-35.60037
149.9811083,-32.5187212,10200,Barigan,1,New South Wales,123.9167,149.98111,-32.51872
153.1191735,-28.53314021,10201,Barkers Vale,1,New South Wales,26.01,153.11917,-28.53314
147.4187739,-34.10774074,10202,Barmedman,1,New South Wales,708.1132,147.41877,-34.10774
149.5042057,-32.17731127,10203,Barneys Reef,1,New South Wales,15.4938,149.50421,-32.17731
151.5849014,-32.92791945,10204,Barnsley,1,New South Wales,3.5268,151.5849,-32.92792
145.7095896,-35.9007682,10205,Barooga,1,New South Wales,98.3096,145.70959,-35.90077
150.5495879,-30.36049454,10206,Barraba,1,New South Wales,523.5401,150.54959,-30.36049
150.8545028,-34.56306546,10207,Barrack Heights,1,New South Wales,2.416,150.8545,-34.56307
150.8693033,-34.56320116,10208,Barrack Point,1,New South Wales,0.4332,150.8693,-34.5632
152.9253688,-30.87628359,10209,Barraganyatti,1,New South Wales,50.5998,152.92537,-30.87628
150.0520047,-36.50419276,10210,Barragga Bay,1,New South Wales,2.4958,150.052,-36.50419
144.5298353,-35.18924844,10211,Barratta (NSW),1,New South Wales,659.3342,144.52984,-35.18925
150.7230503,-34.69026673,10212,Barren Grounds,1,New South Wales,16.1586,150.72305,-34.69027
150.5299306,-34.68863474,10213,Barrengarry,1,New South Wales,42.3946,150.52993,-34.68863
152.7507913,-29.36405905,10214,Barretts Creek,1,New South Wales,87.2067,152.75079,-29.36406
150.4626269,-34.91175725,10215,Barringella,1,New South Wales,39.4049,150.46263,-34.91176
151.8955889,-31.99496731,10216,Barrington (NSW),1,New South Wales,63.0089,151.89559,-31.99497
151.5276978,-31.9589152,10217,Barrington Tops,1,New South Wales,305.9778,151.5277,-31.95892
149.2668428,-33.64701161,10218,Barry (Blayney - NSW),1,New South Wales,37.2701,149.26684,-33.64701
151.2837764,-31.59995015,10219,Barry (Upper Hunter Shire - NSW),1,New South Wales,96.6486,151.28378,-31.59995
148.4780145,-34.44559607,10220,Barwang,1,New South Wales,250.2029,148.47801,-34.4456
148.9296332,-31.00583511,10221,Barwon,1,New South Wales,222.6753,148.92963,-31.00584
152.6258632,-29.22027675,10222,Baryulgil,1,New South Wales,95.986,152.62586,-29.22028
150.5556041,-35.09126321,10223,Basin View,1,New South Wales,7.0396,150.5556,-35.09126
